gtld-servers.net.,NS,"[av3.nstld.com.,av1.nstld.com.,av4.nstld.com.,av2.nstld.com.]"
av3.nstld.com.,A,[192.82.133.30]
av1.nstld.com.,A,[192.42.177.30]
av4.nstld.com.,A,[192.82.134.30]
av2.nstld.com.,A,[192.42.178.30]
nstld.com.,NS,"[av2.nstld.com.,av3.nstld.com.,av1.nstld.com.,av4.nstld.com.]"
it.,NS,"[s.dns.it.,r.dns.it.,dns.nic.it.,m.dns.it.,nameserver.cnr.it.,a.dns.it.]"
s.dns.it.,A,[194.146.106.30]
r.dns.it.,A,[193.206.141.46]
dns.nic.it.,A,[192.12.192.5]
m.dns.it.,A,[217.29.76.4]
nameserver.cnr.it.,A,[194.119.192.34]
a.dns.it.,A,[194.0.16.215]
units.it.,NS,"[ns1.units.it.,ns2.units.it.,ns3.units.it.]"
ns1.units.it.,A,[140.105.114.22]
ns2.units.it.,A,[140.105.114.33]
ns3.units.it.,A,[90.147.166.135]
dns.it.,NS,"[m.dns.it.,dns.nic.it.,ns2.nic.it.,s.dns.it.]"
ns2.nic.it.,A,[192.12.192.3]
nic.it.,NS,"[dns.nic.it.,nameserver.cnr.it.,s.dns.it.,ns2.nic.it.,r.dns.it.,m.dns.it.]"
cnr.it.,NS,"[nameserver.cnr.it.,ns.ge.cnr.it.,dns.cnr.it.,dns2.cnr.it.]"
ns.ge.cnr.it.,A,[150.145.0.4]
dns.cnr.it.,A,[150.146.205.10]
dns2.cnr.it.,A,[150.146.81.2]
ge.cnr.it.,NS,"[ns.ge.cnr.it.,nameserver.ieiit.cnr.it.,nameserver.cnr.it.]"
nameserver.ieiit.cnr.it.,A,[150.145.1.4]
ieiit.cnr.it.,NS,"[nameserver.ge.cnr.it.,nameserver.cnr.it.,nameserver.ieiit.cnr.it.]"
nameserver.ge.cnr.it.,A,[150.145.0.2]
dia.units.it.,NS,"[ns1.units.it.,ns2.units.it.]"
darklyrics.com.,NS,"[ns1.theplanet.com.,ns2.theplanet.com.]"
ns1.theplanet.com.,A,[207.218.247.135]
ns2.theplanet.com.,A,[207.218.223.162]
theplanet.com.,NS,"[ns1.theplanet.com.,ns2.softlayer.net.,ns1.softlayer.net.,ns2.theplanet.com.]"
ns2.softlayer.net.,A,[67.228.255.25]
ns1.softlayer.net.,A,[67.228.254.24]
softlayer.net.,NS,"[ns2.softlayer.net.,ns2.networklayer.com.,ns1.softlayer.net.,ns1.networklayer.com.]"
ns2.networklayer.com.,A,[67.228.255.22]
ns1.networklayer.com.,A,[67.228.254.22]
networklayer.com.,NS,"[ns2.softlayer.net.,ns1.softlayer.net.,ns1.networklayer.com.,ns2.networklayer.com.]"
google.it.,NS,"[ns1.google.com.,ns3.google.com.,ns2.google.com.,ns4.google.com.]"
